Afghanistan	37856.0	257.0	1385.0	10.0	27681.0	8790.0	31.0	970.0	35.0	100138.0	2565.0	3.9043064E7	4.77%	180.0	92.0	120.0	62.0	NULL	NULL	Afghanistan	37856.00	257	1385.00	10	27681.00	8790.00	31	970	35	100138.00	2565.00	39043064	4.77%	180	92	120	62
Albania	7967.0	155.0	238.0	4.0	3986.0	3743.0	15.0	2769.0	83.0	49172.0	17089.0	2877351.0	5.63%	133.0	58.0	82.0	50.0	NULL	NULL	Albania	7967.00	155	238	4	3986.00	3743.00	15	2769.00	83	49172.00	17089.00	2877351	5.63%	133	58	82	50
Algeria	40258.0	411.0	1411.0	9.0	28281.0	10566.0	41.0	916.0	32.0	NULL	NULL	4.3956407E7	4.75%	NULL	96.0	126.0	64.0	NULL	NULL	Algeria	40258.00	411	1411.00	9	28281.00	10566.00	41	916	32			43956407	4.75%		96	126	64
Andorra	1024.0	NULL	53.0	NULL	875.0	96.0	1.0	13250.0	686.0	137457.0	1778642.0	77282.0	5.71%	1.0	4.0	14.0	49.0	NULL	NULL	Andorra	1024.00		53		875	96	1	13250.00	686	137457.00	1778642.00	77282	5.71%	1	4	14	49
Angola	2044.0	29.0	93.0	1.0	742.0	1209.0	24.0	62.0	3.0	64747.0	1962.0	3.2995591E7	11.14%	182.0	169.0	197.0	20.0	NULL	NULL	Angola	2044.00	29	93	1	742	1209.00	24	62	3	64747.00	1962.00	32995591	11.14%	182	169	197	20
Anguilla	3.0	NULL	NULL	NULL	3.0	0.0	NULL	200.0	NULL	662.0	44072.0	15021.0		97.0	NULL	181.0	NULL	NULL	NULL	Anguilla	3				3	0		200		662	44072.00	15021		97		181	
Antigua and Barbuda	94.0	NULL	3.0	NULL	89.0	2.0	1.0	959.0	31.0	1738.0	17727.0	98041.0	3.26%	132.0	97.0	122.0	93.0	NULL	NULL	Antigua and Barbuda	94		3		89	2	1	959	31	1738.00	17727.00	98041	3.26%	132	97	122	93
Argentina	320884.0	8225.0	6517.0	187.0	233651.0	80716.0	1832.0	7091.0	144.0	1030992.0	22783.0	4.5252733E7	2.71%	127.0	40.0	33.0	113.0	NULL	NULL	Argentina	320884.00	8225.00	6517.00	187	233651.00	80716.00	1832.00	7091.00	144	1030992.00	22783.00	45252733	2.71%	127	40	33	113
Armenia	42319.0	263.0	836.0	3.0	35476.0	6007.0	NULL	14278.0	282.0	190560.0	64291.0	2964022.0	2.30%	72.0	21.0	13.0	130.0	NULL	NULL	Armenia	42319.00	263	836	3	35476.00	6007.00		14278.00	282	190560.00	64291.00	2964022	2.30%	72	21	13	130
Aruba	1387.0	91.0	6.0	1.0	277.0	1104.0	2.0	12983.0	56.0	17669.0	165395.0	106829.0	2.12%	30.0	76.0	15.0	138.0	NULL	NULL	Aruba	1387.00	91	6	1	277	1104.00	2	12983.00	56	17669.00	165395.00	106829	2.12%	30	76	15	138
Australia	24236.0	243.0	463.0	13.0	17854.0	5919.0	51.0	949.0	18.0	5507605.0	215645.0	2.5540177E7	2.53%	22.0	114.0	123.0	117.0	NULL	NULL	Australia	24236.00	243	463	13	17854.00	5919.00	51	949	18	5507605.00	215645.00	25540177	2.53%	22	114	123	117
Austria	24431.0	347.0	729.0	NULL	21093.0	2609.0	21.0	2710.0	81.0	1061437.0	117760.0	9013539.0	3.34%	44.0	59.0	84.0	92.0	NULL	NULL	Austria	24431.00	347	729		21093.00	2609.00	21	2710.00	81	1061437.00	117760.00	9013539	3.34%	44	59	84	92
