country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
Afghanistan,37856,257,1385,10,27681,8790,31,970,35,100138,2565,39043064,4.77%,180,92,120,62,164,192,Afghanistan
Albania,7967,155,238,4,3986,3743,15,2769,83,49172,17089,2877351,5.63%,133,58,82,50,123,62,Albania
Algeria,40258,411,1411,9,28281,10566,41,916,32,NULL,NULL,43956407,4.75%,NULL,96,126,64,162,196,Algeria
Andorra,1024,NULL,53,NULL,875,96,1,13250,686,137457,1778642,77282,5.71%,1,4,14,49,63,162,Andorra
Angola,2044,29,93,1,742,1209,24,62,3,64747,1962,32995591,11.14%,182,169,197,20,4,38,Angola
Anguilla,3,NULL,NULL,NULL,3,0,NULL,200,NULL,662,44072,15021,,97,NULL,181,NULL,193,34,Anguilla
Antigua and Barbuda,94,NULL,3,NULL,89,2,1,959,31,1738,17727,98041,3.26%,132,97,122,93,104,137,Antigua and Barbuda
Argentina,320884,8225,6517,187,233651,80716,1832,7091,144,1030992,22783,45252733,2.71%,127,40,33,113,34,187,Argentina
Armenia,42319,263,836,3,35476,6007,NULL,14278,282,190560,64291,2964022,2.30%,72,21,13,130,11,130,Armenia
Aruba,1387,91,6,1,277,1104,2,12983,56,17669,165395,106829,2.12%,30,76,15,138,50,135,Aruba
Australia,24236,243,463,13,17854,5919,51,949,18,5507605,215645,25540177,2.53%,22,114,123,117,77,53,Australia
Austria,24431,347,729,NULL,21093,2609,21,2710,81,1061437,117760,9013539,3.34%,44,59,84,92,26,185,Austria
Azerbaijan,34759,139,510,NULL,32511,1738,NULL,3424,50,855802,84301,10151735,1.54%,59,80,74,154,69,10,Azerbaijan
Bahamas,1610,79,23,1,211,1376,61,4089,58,8449,21457,393759,9.83%,128,75,58,24,125,12,Bahamas
Bahrain,48303,353,179,1,44628,3496,37,28265,105,1011805,592064,1708944,0.40%,8,51,3,188,140,190,Bahrain
Bangladesh,287959,2868,3822,41,168991,115146,NULL,1746,23,1407556,8535,164914115,2.21%,156,107,95,135,89,158,Bangladesh
Barbados,156,1,7,NULL,123,26,NULL,543,24,15028,52285,287425,5.38%,85,104,146,55,27,149,Barbados
Belarus,69950,149,627,5,67929,1394,NULL,7403,66,1437110,152093,9448882,0.91%,33,67,32,171,39,156,Belarus
Belgium,79479,582,9969,10,18078,51432,83,6854,860,2049976,176773,11596664,35.54%,27,2,34,6,1,123,Belgium
Belize,605,52,5,1,38,562,3,1518,13,5592,14030,398588,11.63%,140,130,102,17,71,51,Belize
Benin,2095,NULL,39,NULL,1705,351,NULL,172,3,107057,8801,12164164,2.24%,155,169,183,132,87,184,Benin
Bermuda,166,NULL,9,NULL,147,10,NULL,2667,145,36203,581621,62245,5.77%,9,39,85,48,8,77,Bermuda
Bhutan,150,3,NULL,NULL,105,45,NULL,194,NULL,66835,86488,772767,,57,NULL,182,NULL,193,33,Bhutan
Bolivia,105050,2031,4233,61,39965,60852,71,8983,362,222251,19005,11694550,9.58%,130,16,23,25,78,114,Bolivia
Bosnia and Herzegovina,17029,338,515,8,10881,5633,NULL,5195,157,168861,51515,3277873,4.52%,87,37,51,68,68,141,Bosnia and Herzegovina
Botswana,1308,NULL,3,NULL,136,1169,1,555,1,93420,39620,2357895,2.16%,103,177,144,136,104,3,Botswana
Brazil,3505097,44684,112423,1234,2653407,739267,8318,16474,528,13748152,64616,212768400,4.06%,71,11,10,82,177,194,Brazil
British Virgin Islands,11,NULL,1,NULL,8,2,NULL,364,33,1890,62461,30259,11.11%,78,94,158,21,185,131,British Virgin Islands
Brunei,143,NULL,3,NULL,139,1,NULL,326,7,49399,112769,438054,2.11%,46,146,161,139,104,59,Brunei
Bulgaria,14962,142,532,5,10087,4343,63,2156,77,358723,51683,6940865,5.01%,86,61,89,59,62,78,Bulgaria
Burkina Faso,1297,12,55,NULL,1034,208,NULL,62,3,NULL,NULL,20976858,5.05%,NULL,169,197,58,57,196,Burkina Faso
Burundi,422,NULL,1,NULL,336,85,NULL,35,0.08,19993,1675,11935821,0.30%,186,190,205,190,185,124,Burundi
CAR,4679,NULL,61,NULL,1755,2863,2,967,13,30775,6357,4840968,3.36%,166,130,121,91,46,92,CAR
Cabo Verde,3368,47,37,1,2462,869,NULL,6049,66,73900,132720,556812,1.48%,36,67,42,157,90,24,Cabo Verde
Cambodia,273,NULL,NULL,NULL,253,20,1,16,NULL,83626,4993,16750228,,172,NULL,210,NULL,193,14,Cambodia
Cameroon,18762,138,408,2,16540,1814,30,705,15,149000,5595,26631541,2.41%,170,125,133,128,83,152,Cameroon
Canada,123873,383,9054,5,110288,4531,61,3278,240,4974215,131636,37787666,7.59%,37,26,76,34,7,57,Canada
Caribbean Netherlands,13,NULL,NULL,NULL,7,6,NULL,495,NULL,424,16149,26256,,136,NULL,151,NULL,193,70,Caribbean Netherlands
Cayman Islands,205,NULL,1,NULL,202,2,NULL,3114,15,33978,516171,65827,0.49%,11,125,78,187,185,86,Cayman Islands
Chad,972,1,76,NULL,869,27,NULL,59,5,NULL,NULL,16486068,8.04%,NULL,155,199,30,24,196,Chad
Channel Islands,613,NULL,48,NULL,545,20,NULL,3521,276,68985,396276,174083,8.09%,12,23,69,29,74,30,Channel Islands
Chile,391849,1812,10671,93,366063,15115,1077,20474,558,2113632,110437,19138783,2.83%,48,9,5,110,182,120,Chile
China,84895,7,4634,NULL,79745,516,24,59,3,90410000,62814,1439323776,5.49%,77,169,199,52,76,7,China
Colombia,513719,11541,16183,204,339124,158412,1493,10081,318,2374898,46606,50956995,4.55%,91,20,21,65,151,108,Colombia
Comoros,417,11,7,NULL,396,14,NULL,478,8,NULL,NULL,872036,1.74%,NULL,141,152,149,27,196,Comoros
Congo,3850,NULL,77,NULL,1625,2148,NULL,695,14,NULL,NULL,5535717,4.52%,NULL,128,136,67,23,196,Congo
Costa Rica,31075,666,333,12,9939,20803,128,6093,65,126337,24769,5100508,3.24%,121,69,41,94,95,171,Costa Rica
Country,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Death in Closed Cases,NULL,NULL,NULL,NULL,193,196,Country
Croatia,7329,255,168,NULL,5472,1689,13,1787,41,144521,35235,4101613,2.98%,107,86,94,103,149,154,Croatia
Cuba,3565,83,88,NULL,2894,583,3,315,8,346439,30589,11325635,2.95%,115,141,164,106,10,84,Cuba
Curaça,36,NULL,1,NULL,31,4,NULL,219,6,1080,6578,164187,3.13%,165,148,176,99,185,182,Curaça
Cyprus,1395,10,20,NULL,878,497,5,1154,17,263943,218392,1208574,2.23%,21,118,113,133,130,105,Cyprus
Czechia,21045,247,406,2,15886,4753,24,1965,38,820151,76565,10711777,2.49%,64,88,91,120,84,16,Czechia
DRC,9757,16,247,1,8895,615,NULL,109,3,NULL,NULL,89906805,2.70%,NULL,169,190,114,120,196,DRC
Denmark,16056,116,621,NULL,13769,1666,1,2771,107,2075156,358091,5795057,4.32%,14,50,81,77,40,121,Denmark
Diamond Princess,712,NULL,13,NULL,651,48,4,NULL,NULL,NULL,NULL,NULL,1.96%,NULL,NULL,NULL,142,166,196,Diamond Princess
Djibouti,5374,NULL,59,NULL,5216,99,NULL,5429,60,63471,64116,989936,1.12%,73,72,48,166,52,40,Djibouti
Dominica,18,NULL,NULL,NULL,18,0,NULL,250,NULL,1646,22858,72011,,126,NULL,171,NULL,193,146,Dominica
Dominican Republic,89010,883,1505,4,57734,29771,288,8194,139,335478,30883,10862806,2.54%,114,43,28,116,157,88,Dominican Republic
Ecuador,105508,1033,6200,54,87660,11648,331,5968,351,297376,16821,17679078,6.61%,134,19,44,40,43,97,Ecuador
Egypt,97025,111,5212,15,63462,28351,41,946,51,135000,1316,102590466,7.59%,189,78,124,33,66,165,Egypt
El Salvador,23964,247,640,7,11558,11766,391,3692,99,288307,44418,6490763,5.25%,96,55,66,57,36,99,El Salvador
Equatorial Guinea,4892,NULL,83,NULL,2713,2096,NULL,3473,59,49215,34935,1408774,2.97%,109,74,72,105,12,60,Equatorial Guinea
Eritrea,306,2,NULL,NULL,274,32,NULL,86,NULL,NULL,NULL,3553053,,NULL,NULL,193,NULL,193,196,Eritrea
Estonia,2227,20,63,NULL,2009,155,NULL,1679,47,138166,104146,1326661,3.04%,51,83,96,100,37,160,Estonia
Eswatini,4110,52,81,2,2643,1386,11,3538,70,28380,24427,1161807,2.97%,122,64,68,104,17,102,Eswatini
Ethiopia,35836,1778,620,20,13536,21680,216,311,5,694093,6018,115332992,4.38%,168,155,165,73,44,29,Ethiopia
Faeroe Islands,383,1,NULL,NULL,274,109,3,7834,NULL,80312,1642742,48889,,2,NULL,31,NULL,193,19,Faeroe Islands
Falkland Islands,13,NULL,NULL,NULL,13,0,NULL,3722,NULL,2256,645863,3493,,6,NULL,65,NULL,193,113,Falkland Islands
Fiji,28,NULL,1,NULL,20,7,NULL,31,1,6693,7459,897343,4.76%,160,177,206,63,185,32,Fiji
Finland,7842,37,334,NULL,7100,408,NULL,1415,60,517936,93458,5541933,4.49%,55,72,104,69,94,56,Finland
France,229814,4771,30480,12,84065,115269,384,3520,467,6000000,91892,65293815,26.61%,56,12,70,8,102,45,France
