country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
Afghanistan,37856.0,257.0,1385.0,10.0,27681.0,8790.0,31.0,970.0,35.0,100138.0,2565.0,39043064.0,4.77%,180.0,92.0,120.0,62.0,164,192,Afghanistan
Albania,7967.0,155.0,238.0,4.0,3986.0,3743.0,15.0,2769.0,83.0,49172.0,17089.0,2877351.0,5.63%,133.0,58.0,82.0,50.0,123,62,Albania
Algeria,40258.0,411.0,1411.0,9.0,28281.0,10566.0,41.0,916.0,32.0,,,43956407.0,4.75%,,96.0,126.0,64.0,162,196,Algeria
Andorra,1024.0,,53.0,,875.0,96.0,1.0,13250.0,686.0,137457.0,1778642.0,77282.0,5.71%,1.0,4.0,14.0,49.0,63,162,Andorra
Angola,2044.0,29.0,93.0,1.0,742.0,1209.0,24.0,62.0,3.0,64747.0,1962.0,32995591.0,11.14%,182.0,169.0,197.0,20.0,4,38,Angola
Anguilla,3.0,,,,3.0,0.0,,200.0,,662.0,44072.0,15021.0,,97.0,,181.0,,193,34,Anguilla
Antigua and Barbuda,94.0,,3.0,,89.0,2.0,1.0,959.0,31.0,1738.0,17727.0,98041.0,3.26%,132.0,97.0,122.0,93.0,104,137,Antigua and Barbuda
Argentina,320884.0,8225.0,6517.0,187.0,233651.0,80716.0,1832.0,7091.0,144.0,1030992.0,22783.0,45252733.0,2.71%,127.0,40.0,33.0,113.0,34,187,Argentina
Armenia,42319.0,263.0,836.0,3.0,35476.0,6007.0,,14278.0,282.0,190560.0,64291.0,2964022.0,2.30%,72.0,21.0,13.0,130.0,11,130,Armenia
Aruba,1387.0,91.0,6.0,1.0,277.0,1104.0,2.0,12983.0,56.0,17669.0,165395.0,106829.0,2.12%,30.0,76.0,15.0,138.0,50,135,Aruba
